class,order,family,genus,species,haploid
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49.5
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,52
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49.5
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49.5
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_carpio,49.5
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_daliensis,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_longipectoralis,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_megalophthalmus,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_micristius,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_pellegrini,50
Actinopteri,Cypriniformes,Cyprinidae,cyprinus,Cyprinus_pellegrini,50
Actinopteri,Cypriniformes,Cyprinidae,delminichthys,Delminichthys_adspersus,25
Actinopteri,Cypriniformes,Cyprinidae,delminichthys,Delminichthys_ghetaldii,25
Actinopteri,Cypriniformes,Cyprinidae,devario,Devario_aequipinnatus,25
Actinopteri,Cypriniformes,Cyprinidae,devario,Devario_aequipinnatus,25
Actinopteri,Cypriniformes,Cyprinidae,devario,Devario_malabaricus,25
Actinopteri,Cypriniformes,Cyprinidae,dionda,Dionda_argentosa,25
Actinopteri,Cypriniformes,Cyprinidae,dionda,Dionda_diaboli,25
Actinopteri,Cypriniformes,Cyprinidae,dionda,Dionda_episcopa,25
Actinopteri,Cypriniformes,Cyprinidae,dionda,Dionda_serena,25
Actinopteri,Cypriniformes,Cyprinidae,discogobio,Discogobio_tetrabarbatus,25
Actinopteri,Cypriniformes,Cyprinidae,distoechodon,Distoechodon_tumirostris,24
Actinopteri,Cypriniformes,Cyprinidae,elopichthys,Elopichthys_bambusa,24
Actinopteri,Cypriniformes,Cyprinidae,esomus,Esomus_danrica,25
Actinopteri,Cypriniformes,Cyprinidae,esomus,Esomus_danrica,25
Actinopteri,Cypriniformes,Cyprinidae,eupallasella,Eupallasella_perenurus,25
Actinopteri,Cypriniformes,Cyprinidae,exoglossum,Exoglossum_maxillingua,24
Actinopteri,Cypriniformes,Cyprinidae,folifer,Folifer_brevifilis,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_dembeensis,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_gotyla,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_gotyla,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_gotyla,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_imberba,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_imberba,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_kempi,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_lamta,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_lamta,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_lissorhynchus,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_makiensis,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_mullya,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_orientalis,25
