Clade,Family,species,Genus,species,haploid
Angiosperms,Fabaceae,Astragalus_crotalariae,Astragalus,crotalariae,12
Angiosperms,Fabaceae,Astragalus_cyaneus,Astragalus,cyaneus,11
Angiosperms,Fabaceae,Astragalus_cyprius,Astragalus,cyprius,8
Angiosperms,Fabaceae,Astragalus_dactylocarpus,Astragalus,dactylocarpus,8
Angiosperms,Fabaceae,Astragalus_deickianus,Astragalus,deickianus,8
Angiosperms,Fabaceae,Astragalus_didymocarpus,Astragalus,didymocarpus,12
Angiosperms,Fabaceae,Astragalus_diphacus,Astragalus,diphacus,15
Angiosperms,Fabaceae,Astragalus_donianus,Astragalus,donianus,8
Angiosperms,Fabaceae,Astragalus_douglasii,Astragalus,douglasii,11
Angiosperms,Fabaceae,Astragalus_drummondii,Astragalus,drummondii,11
Angiosperms,Fabaceae,Astragalus_echinatus,Astragalus,echinatus,14
Angiosperms,Fabaceae,Astragalus_emoryanus,Astragalus,emoryanus,11
Angiosperms,Fabaceae,Astragalus_epiglottis,Astragalus,epiglottis,8
Angiosperms,Fabaceae,Astragalus_episcopus,Astragalus,episcopus,11
Angiosperms,Fabaceae,Astragalus_eremiticus,Astragalus,eremiticus,11
Angiosperms,Fabaceae,Astragalus_eriocarpus,Astragalus,eriocarpus,8
Angiosperms,Fabaceae,Astragalus_eriopodus,Astragalus,eriopodus,13
Angiosperms,Fabaceae,Astragalus_ervoides,Astragalus,ervoides,15
Angiosperms,Fabaceae,Astragalus_exscapus,Astragalus,exscapus,8
Angiosperms,Fabaceae,Astragalus_fastidius,Astragalus,fastidius,11
Angiosperms,Fabaceae,Astragalus_filipes,Astragalus,filipes,11
Angiosperms,Fabaceae,Astragalus_flexuosus,Astragalus,flexuosus,11
Angiosperms,Fabaceae,Astragalus_fragifer,Astragalus,fragifer,8
Angiosperms,Fabaceae,Astragalus_fragiferus,Astragalus,fragiferus,8
Angiosperms,Fabaceae,Astragalus_frigidus,Astragalus,frigidus,8
Angiosperms,Fabaceae,Astragalus_fucatus,Astragalus,fucatus,11
Angiosperms,Fabaceae,Astragalus_gilensis,Astragalus,gilensis,11
Angiosperms,Fabaceae,Astragalus_glaucacanthos,Astragalus,glaucacanthos,8
Angiosperms,Fabaceae,Astragalus_glaux,Astragalus,glaux,8
Angiosperms,Fabaceae,Astragalus_glycyphyllos,Astragalus,glycyphyllos,8
Angiosperms,Fabaceae,Astragalus_goldmanii,Astragalus,goldmanii,15
Angiosperms,Fabaceae,Astragalus_grahamianus,Astragalus,grahamianus,8
Angiosperms,Fabaceae,Astragalus_graveolens,Astragalus,graveolens,8
Angiosperms,Fabaceae,Astragalus_guatemalensis,Astragalus,guatemalensis,15
Angiosperms,Fabaceae,Astragalus_hallii,Astragalus,hallii,11
Angiosperms,Fabaceae,Astragalus_hartwegii,Astragalus,hartwegii,14
Angiosperms,Fabaceae,Astragalus_himalayanus,Astragalus,himalayanus,8
